{kind=tupleKind, u=Trudy, e=Loves, v=Alice}
{kind=tupleKind, u=God, e=gave, v=Bible}
{kind=tupleKind, u=talk, e=getting, v=balance}
{kind=tupleKind, u=UK, e=is, v=football}
{kind=tupleKind, u=Jimmy, e=calls, v=Australia}
{kind=tupleKind, u=Trump, e=deported, v=living}
{kind=tupleKind, u=man, e=is, v=risk}
{kind=tupleKind, u=Scott, e=believes, v=Planet}
{kind=tupleKind, u=hatred, e=inspired, v=MSM}
{kind=tupleKind, u=Jon, e=accused, v=cheating}
{kind=tupleKind, u=egyptian, e=mentioned, v=nasa}
{kind=tupleKind, u=week, e=rated, v=climate}
{kind=tupleKind, u=Nigga, e=hit, v=em}
{kind=tupleKind, u=US, e=speaking, v=tour}
{kind=tupleKind, u=UNT, e=winning, v=Conference}
{kind=tupleKind, u=James, e=is, v=Australia}
{kind=tupleKind, u=RT, e='s, v=tweet}
{kind=tupleKind, u=concept, e=depicts, v=NASA}
{kind=tupleKind, u=Minaj, e=leaking, v=rapper}
{kind=tupleKind, u=hydrogen, e=trains, v=future}
{kind=tupleKind, u=adult, e=live, v=poverty}
{kind=tupleKind, u=UK, e=bring, v=Permanent}
{kind=tupleKind, u=economist, e=confirms, v=misery}
{kind=tupleKind, u=Cricket, e=enacting, v=program}
{kind=tupleKind, u=Jose, e=had, v=problem}
{kind=tupleKind, u=Sports, e=were, v=Cricket}
{kind=tupleKind, u=article, e=looks, v=UK}
{kind=tupleKind, u=report, e=prepared, v=Se}
{kind=tupleKind, u=mainstream, e=turns, v=GP}
{kind=tupleKind, u=Communities, e=hold, v=Joint}
{kind=tupleKind, u=mainstream, e=turns, v=GP}
{kind=tupleKind, u=CNN, e=Did, v=Google}
{kind=tupleKind, u=yarn, e=Made, v=Russia}
{kind=tupleKind, u=side, e=won, v=Liverpool}
{kind=tupleKind, u=Ged, e=says, v=refugee}
{kind=tupleKind, u=Paul, e=advised, v=White}
{kind=tupleKind, u=Chloe, e=reveals, v=Olivia}
{kind=tupleKind, u=mainstream, e=turns, v=GP}
{kind=tupleKind, u=Hillary, e=wrote, v=letter}
{kind=tupleKind, u=Tom, e=becomes, v=batsman}
{kind=tupleKind, u=report, e=shows, v=Russia}
{kind=tupleKind, u=mainstream, e=turns, v=GP}
{kind=tupleKind, u=series, e=is, v=Aussie}
{kind=tupleKind, u=Liverpool, e=beat, v=Manchester}
{kind=tupleKind, u=Easy, e=win, v=India}
{kind=tupleKind, u=Bill, e=had, v=opportunity}
{kind=tupleKind, u=game, e=called, v=Netball}
{kind=tupleKind, u=Hillary, e=wrote, v=letter}
{kind=tupleKind, u=STOP, e=censoring, v=coverage}
{kind=tupleKind, u=UK, e=sponsored, v=starvation}
{kind=tupleKind, u=NASA, e=sent, v=Juno}
{kind=tupleKind, u=math, e=solving, v=bastard}
{kind=tupleKind, u=Brexit, e=is, v=game}
{kind=tupleKind, u=Britain, e=wins, v=Golden}
{kind=tupleKind, u=Liverpool, e=beat, v=Manchester}
{kind=tupleKind, u=mainstream, e=turns, v=GP}
{kind=tupleKind, u=Trump, e=was, v=contact}
{kind=tupleKind, u=sex, e=dating, v=uk}
{kind=tupleKind, u=Russia, e=get, v=middle}
{kind=tupleKind, u=Dictatorship, e=is, v=ascendant}
{kind=tupleKind, u=Russia, e=says, v=UK}
{kind=tupleKind, u=Liverpool, e=beat, v=Manchester}
{kind=tupleKind, u=mainstream, e=turns, v=GP}
{kind=tupleKind, u=mainstream, e=turns, v=GP}
{kind=tupleKind, u=Boss, e=Reveals, v=Operation}
{kind=tupleKind, u=Turkey, e=opposes, v=independence}
{kind=tupleKind, u=Theresa, e=pleaded, v=Saudi}
{kind=tupleKind, u=UK, e=leaves, v=EU}
{kind=tupleKind, u=mainstream, e=turns, v=GP}
{kind=tupleKind, u=mainstream, e=turns, v=GP}
{kind=tupleKind, u=Trump, e=asking, v=Russia}
{kind=tupleKind, u=pitch, e=has, v=lot}
{kind=tupleKind, u=Football, e=brings, v=friendship}
{kind=tupleKind, u=Australia, e=crackling, v=Perth}
{kind=tupleKind, u=Forrester, e=finds, v=UK}
{kind=tupleKind, u=market, e=is, v=slowdown}
{kind=tupleKind, u=Miss, e=poked, v=fun}
{kind=tupleKind, u=Todd, e=suffers, v=knee}
{kind=tupleKind, u=Hillary, e=wrote, v=letter}
{kind=tupleKind, u=rap, e=makes, v=President}
{kind=tupleKind, u=Tusk, e=takes, v=HUGE}
{kind=tupleKind, u=cricket, e=rocking, v=Perth}
{kind=tupleKind, u=mainstream, e=turns, v=GP}
{kind=tupleKind, u=UK, e=based, v=warehouse}
{kind=tupleKind, u=mind, e=blowing, v=Pre-}
{kind=tupleKind, u=Earth, e=is, v=Th}
{kind=tupleKind, u=Hillary, e=wrote, v=letter}
{kind=tupleKind, u=melody, e=lifts, v=message}
{kind=tupleKind, u=melody, e=lifts, v=message}
{kind=tupleKind, u=Hillary, e=wrote, v=letter}
{kind=tupleKind, u=cricket, e=rocking, v=Perth}
{kind=tupleKind, u=WaPo, e=obtained, v=report}
{kind=tupleKind, u=mainstream, e=turns, v=GP}
{kind=tupleKind, u=mainstream, e=turns, v=GP}
{kind=tupleKind, u=Miss, e=poked, v=fun}
{kind=tupleKind, u=journalist, e=loses, v=ounce}
{kind=tupleKind, u=report, e=prepared, v=Senate}
{kind=tupleKind, u=ppl, e=giving, v=Block}
{kind=tupleKind, u=Dictatorship, e=is, v=ascendant}
{kind=tupleKind, u=Idris, e=knows, v=score}
{kind=tupleKind, u=rap, e=makes, v=President}
{kind=tupleKind, u=Tune, e=is, v=Test}
{kind=tupleKind, u=Hillary, e=wrote, v=letter}
{kind=tupleKind, u=justification, e=threatening, v=EU}
{kind=tupleKind, u=mainstream, e=turns, v=GP}
{kind=tupleKind, u=banana, e=seen, v=level}
{kind=tupleKind, u=mix, e=beating, v=Rams}
{kind=tupleKind, u=case, e=based, v=reading}
{kind=tupleKind, u=Ged, e=says, v=refugee}
{kind=tupleKind, u=Key, e=Duplicating, v=Machine}
{kind=tupleKind, u=Saints, e=announce, v=uniform}
{kind=tupleKind, u=Kohli, e=wins, v=India}
{kind=tupleKind, u=Hillary, e=wrote, v=letter}
{kind=tupleKind, u=ICC, e=depends, v=start}
{kind=tupleKind, u=Tune, e=is, v=Test}
{kind=tupleKind, u=ODI, e=matches, v=Pakistan}
{kind=tupleKind, u=cricket, e=rocking, v=Perth}
{kind=tupleKind, u=EU, e=comprises, v=minority}
{kind=tupleKind, u=Vote, e=broke, v=Electoral}
{kind=tupleKind, u=Rudy, e=admits, v=Trump}
{kind=tupleKind, u=pendant, e=created, v=Diamond}
{kind=tupleKind, u=Australia, e=is, v=track}
{kind=tupleKind, u=report, e=shows, v=Russia}
{kind=tupleKind, u=microgravity, e=requires, v=lifting}
{kind=tupleKind, u=UK, e=leaving, v=EU}
{kind=tupleKind, u=Alice, e=loves, v=Bob}
{kind=tupleKind, u=Bob, e=loves, v=Trudy}
{kind=tupleKind, u=Trudy, e=Loves, v=Alice}
{kind=tupleKind, u=cXMfpLaJSQ, e=has, v=DGR}
{kind=tupleKind, u=God, e=gave, v=Bible}
{kind=tupleKind, u=talk, e=getting, v=balance}
{kind=tupleKind, u=’, e=s, v=tour}
{kind=tupleKind, u=’, e=s, v=seat}
{kind=tupleKind, u=YG, e=update, v=iKON}
{kind=tupleKind, u=re, e=landing, v=spacecraft}
{kind=tupleKind, u=’, e=s, v=interi}
{kind=tupleKind, u=UK, e=is, v=football}
{kind=tupleKind, u=Barnes, e=calls, v=Australia}
{kind=tupleKind, u=Putin, e=coming, v=…}
{kind=tupleKind, u=’, e=s, v=Win}
{kind=tupleKind, u=USA, e=IS, v=CRITICAL}
{kind=tupleKind, u=YG, e=update, v=iKON}
{kind=tupleKind, u=MEMBERS, e=GET, v=SOME}
{kind=tupleKind, u=Trump, e=deported, v=living}
{kind=tupleKind, u=everyone, e=doing, v=Burns}
{kind=tupleKind, u=man, e=is, v=risk}
{kind=tupleKind, u=Morrison, e=believes, v=Planet}
{kind=tupleKind, u=luck, e=getting, v=reli}
{kind=tupleKind, u=egyptian, e=mentioned, v=nasa}
